feature,xgb_importance,rf_importance
classified_access_count,0.48010182,0.10566535713942758
std_login_hour,0.1529655,0.01702410999133792
files_per_day,0.13440011,0.08275756981796657
file_deletions,0.04204534,0.006385086585981418
failed_logins,0.02647251,0.014548530104076775
vpn_total_download,0.022953633,0.013196205147108111
unique_files_accessed,0.02136901,0.026221233386788653
vpn_total_upload,0.018072298,0.00898833509036735
max_memory,0.016506918,0.005629273567844075
failed_login_ratio,0.01594014,0.010908537501845306
file_downloads,0.011407772,0.037547064556874746
mean_logout_hour,0.010618941,0.01607483615438246
total_attachment_bytes,0.0090711545,0.026353324760680634
emails_with_attachment,0.008771853,0.016681266537762474
mean_bytes_file,0.0064284005,0.0423160668267834
total_processes,0.005506059,0.012484075107646361
unique_dst_ports,0.004905075,0.0036597397632762993
external_email_ratio,0.0034446106,0.0096120969723985
classified_access_ratio,0.002577117,0.08510511891540382
suspicious_process_ratio,0.0021905676,0.010333501243276545
vpn_sessions,0.0021825784,0.0032761137875674724
vpn_suspicious_geo,0.0020685554,0.010506388904138905
total_bytes_file,0.0,0.04180507828929869
total_file_accesses,0.0,0.09995725238644372
after_hours_logins,0.0,0.010348940311183236
unique_locations,0.0,0.0072613858974205385
suspicious_locations,0.0,0.012941986042262424
mean_session_duration,0.0,0.01863304261080927
total_logins,0.0,0.010710527618488437
mean_login_hour,0.0,0.005651427518351705
weekend_logins,0.0,0.005493226870807114
external_emails,0.0,0.006310514328430073
total_emails,0.0,0.008539549642372735
emails_per_day,0.0,0.010477137549735392
max_bytes_usb,0.0,0.0037240291988420993
mean_usb_duration,0.0,0.0027726269620674004
total_bytes_usb,0.0,0.012617977255290165
usb_per_day,0.0,0.003389578323759283
usb_events,0.0,0.0033277860429960578
out_of_session_ratio,0.0,0.014290780783829681
out_of_session_access,0.0,0.008432925426561664
file_copies,0.0,0.029267108856281632
unique_dst_ips,0.0,0.0021198379746614556
total_network_events,0.0,0.0025183516699603795
mean_bytes_sent,0.0,0.0053423804848162825
total_bytes_received,0.0,0.003095649369755061
total_bytes_sent,0.0,0.004956505085163934
suspicious_geo_connections,0.0,0.004036106743781045
port_scans,0.0,8.998248128683232e-05
ssh_ftp_connections,0.0,0.004028908404204033
suspicious_processes,0.0,0.014035706016780435
mean_cpu,0.0,0.008924458203908945
degree_centrality,0.0,0.019225279253497096
betweenness_centrality,0.0,0.020335309555207726
eigenvector_centrality,0.0,0.022263397248773662
clustering_coefficient,0.0,0.0
neighbor_count,0.0,0.007801413730036539
nlp_keyword_flag_avg,0.0,0.0
nlp_suspicious_kw_total,0.0,0.0
nlp_exfil_flag_avg,0.0,0.0
nlp_subject_len_avg,0.0,0.0
nlp_sentiment_avg,0.0,0.0
nlp_caps_ratio_avg,0.0,0.0
